#   pt       r            w            wL          Qw            A            b           IP
   168   0.3340E+01   0.7799E-03   0.6495E-03   0.5562E-01   0.2959E+01   0.2467E+01   0.7610E+00
   169   0.3360E+01   0.7423E-03   0.6145E-03   0.5347E-01   0.2940E+01   0.2466E+01   0.7599E+00
   170   0.3380E+01   0.7066E-03   0.5814E-03   0.5141E-01   0.2922E+01   0.2464E+01   0.7587E+00
   171   0.3400E+01   0.6727E-03   0.5500E-03   0.4942E-01   0.2905E+01   0.2462E+01   0.7577E+00
   172   0.3420E+01   0.6404E-03   0.5203E-03   0.4750E-01   0.2888E+01   0.2460E+01   0.7566E+00
   173   0.3440E+01   0.6096E-03   0.4923E-03   0.4565E-01   0.2872E+01   0.2459E+01   0.7556E+00
   174   0.3460E+01   0.5804E-03   0.4657E-03   0.4387E-01   0.2857E+01   0.2457E+01   0.7547E+00
   175   0.3480E+01   0.5526E-03   0.4406E-03   0.4216E-01   0.2842E+01   0.2456E+01   0.7537E+00
   176   0.3500E+01   0.5261E-03   0.4168E-03   0.4051E-01   0.2828E+01   0.2454E+01   0.7528E+00
   177   0.3520E+01   0.5009E-03   0.3944E-03   0.3892E-01   0.2814E+01   0.2453E+01   0.7520E+00
   178   0.3540E+01   0.4769E-03   0.3731E-03   0.3739E-01   0.2801E+01   0.2451E+01   0.7512E+00
   179   0.3560E+01   0.4541E-03   0.3530E-03   0.3591E-01   0.2788E+01   0.2450E+01   0.7504E+00
   180   0.3580E+01   0.4324E-03   0.3339E-03   0.3449E-01   0.2777E+01   0.2449E+01   0.7497E+00
   181   0.3600E+01   0.4117E-03   0.3159E-03   0.3312E-01   0.2765E+01   0.2448E+01   0.7490E+00
   182   0.3620E+01   0.3921E-03   0.2989E-03   0.3181E-01   0.2755E+01   0.2447E+01   0.7484E+00
   183   0.3640E+01   0.3733E-03   0.2827E-03   0.3054E-01   0.2746E+01   0.2446E+01   0.7478E+00
   184   0.3660E+01   0.3555E-03   0.2675E-03   0.2932E-01   0.2737E+01   0.2445E+01   0.7473E+00
   185   0.3680E+01   0.3386E-03   0.2531E-03   0.2815E-01   0.2729E+01   0.2444E+01   0.7468E+00
   186   0.3700E+01   0.3224E-03   0.2394E-03   0.2702E-01   0.2723E+01   0.2444E+01   0.7464E+00
   187   0.3720E+01   0.3070E-03   0.2265E-03   0.2593E-01   0.2717E+01   0.2443E+01   0.7460E+00
   188   0.3740E+01   0.2924E-03   0.2143E-03   0.2488E-01   0.2712E+01   0.2443E+01   0.7458E+00
   189   0.3760E+01   0.2785E-03   0.2027E-03   0.2387E-01   0.2709E+01   0.2442E+01   0.7456E+00
   190   0.3780E+01   0.2652E-03   0.1918E-03   0.2290E-01   0.2707E+01   0.2442E+01   0.7454E+00
   191   0.3800E+01   0.2525E-03   0.1814E-03   0.2197E-01   0.2706E+01   0.2442E+01   0.7454E+00
   192   0.3820E+01   0.2405E-03   0.1717E-03   0.2107E-01   0.2706E+01   0.2442E+01   0.7454E+00
   193   0.3840E+01   0.2290E-03   0.1624E-03   0.2020E-01   0.2708E+01   0.2442E+01   0.7455E+00
   194   0.3860E+01   0.2181E-03   0.1536E-03   0.1937E-01   0.2711E+01   0.2442E+01   0.7457E+00
   195   0.3880E+01   0.2077E-03   0.1454E-03   0.1857E-01   0.2717E+01   0.2443E+01   0.7460E+00
   196   0.3900E+01   0.1978E-03   0.1375E-03   0.1780E-01   0.2723E+01   0.2444E+01   0.7464E+00
   197   0.3920E+01   0.1884E-03   0.1301E-03   0.1706E-01   0.2732E+01   0.2444E+01   0.7469E+00
   198   0.3940E+01   0.1794E-03   0.1231E-03   0.1634E-01   0.2743E+01   0.2445E+01   0.7475E+00
   199   0.3960E+01   0.1708E-03   0.1164E-03   0.1566E-01   0.2756E+01   0.2447E+01   0.7482E+00
   200   0.3980E+01   0.1627E-03   0.1102E-03   0.1500E-01   0.2770E+01   0.2448E+01   0.7491E+00
   201   0.4000E+01   0.1549E-03   0.1042E-03   0.1436E-01   0.2788E+01   0.2450E+01   0.7500E+00
   202   0.4020E+01   0.1475E-03   0.9860E-04   0.1375E-01   0.2807E+01   0.2451E+01   0.7511E+00
