#   pt       r            w            wL          Qw            A            b           IP
   175   0.3480E+01   0.5336E-03   0.4398E-03   0.4081E-01   0.3138E+01   0.2494E+01   0.7776E+00
   176   0.3500E+01   0.5077E-03   0.4160E-03   0.3921E-01   0.3115E+01   0.2492E+01   0.7762E+00
   177   0.3520E+01   0.4830E-03   0.3936E-03   0.3768E-01   0.3092E+01   0.2490E+01   0.7749E+00
   178   0.3540E+01   0.4595E-03   0.3724E-03   0.3620E-01   0.3069E+01   0.2488E+01   0.7736E+00
   179   0.3560E+01   0.4372E-03   0.3523E-03   0.3478E-01   0.3046E+01   0.2486E+01   0.7723E+00
   180   0.3580E+01   0.4160E-03   0.3333E-03   0.3342E-01   0.3023E+01   0.2484E+01   0.7710E+00
   181   0.3600E+01   0.3959E-03   0.3153E-03   0.3210E-01   0.3001E+01   0.2481E+01   0.7697E+00
   182   0.3620E+01   0.3767E-03   0.2983E-03   0.3084E-01   0.2979E+01   0.2479E+01   0.7684E+00
   183   0.3640E+01   0.3585E-03   0.2822E-03   0.2962E-01   0.2957E+01   0.2477E+01   0.7672E+00
   184   0.3660E+01   0.3412E-03   0.2670E-03   0.2845E-01   0.2936E+01   0.2475E+01   0.7660E+00
   185   0.3680E+01   0.3247E-03   0.2526E-03   0.2732E-01   0.2915E+01   0.2473E+01   0.7648E+00
   186   0.3700E+01   0.3090E-03   0.2390E-03   0.2624E-01   0.2895E+01   0.2472E+01   0.7636E+00
   187   0.3720E+01   0.2941E-03   0.2261E-03   0.2520E-01   0.2875E+01   0.2470E+01   0.7625E+00
   188   0.3740E+01   0.2800E-03   0.2139E-03   0.2419E-01   0.2856E+01   0.2468E+01   0.7614E+00
   189   0.3760E+01   0.2665E-03   0.2023E-03   0.2323E-01   0.2838E+01   0.2466E+01   0.7603E+00
   190   0.3780E+01   0.2537E-03   0.1914E-03   0.2230E-01   0.2820E+01   0.2465E+01   0.7593E+00
   191   0.3800E+01   0.2415E-03   0.1811E-03   0.2140E-01   0.2804E+01   0.2463E+01   0.7584E+00
   192   0.3820E+01   0.2299E-03   0.1713E-03   0.2054E-01   0.2788E+01   0.2462E+01   0.7574E+00
   193   0.3840E+01   0.2188E-03   0.1621E-03   0.1972E-01   0.2774E+01   0.2460E+01   0.7566E+00
   194   0.3860E+01   0.2083E-03   0.1533E-03   0.1892E-01   0.2760E+01   0.2459E+01   0.7558E+00
   195   0.3880E+01   0.1983E-03   0.1451E-03   0.1816E-01   0.2748E+01   0.2458E+01   0.7551E+00
   196   0.3900E+01   0.1888E-03   0.1373E-03   0.1742E-01   0.2737E+01   0.2457E+01   0.7545E+00
   197   0.3920E+01   0.1798E-03   0.1298E-03   0.1671E-01   0.2727E+01   0.2456E+01   0.7539E+00
   198   0.3940E+01   0.1712E-03   0.1228E-03   0.1603E-01   0.2719E+01   0.2455E+01   0.7534E+00
   199   0.3960E+01   0.1630E-03   0.1162E-03   0.1538E-01   0.2712E+01   0.2454E+01   0.7530E+00
   200   0.3980E+01   0.1552E-03   0.1099E-03   0.1475E-01   0.2706E+01   0.2454E+01   0.7527E+00
   201   0.4000E+01   0.1477E-03   0.1040E-03   0.1414E-01   0.2703E+01   0.2454E+01   0.7525E+00
   202   0.4020E+01   0.1406E-03   0.9841E-04   0.1356E-01   0.2701E+01   0.2453E+01   0.7524E+00
   203   0.4040E+01   0.1339E-03   0.9310E-04   0.1300E-01   0.2700E+01   0.2453E+01   0.7524E+00
   204   0.4060E+01   0.1275E-03   0.8808E-04   0.1246E-01   0.2702E+01   0.2454E+01   0.7525E+00
   205   0.4080E+01   0.1214E-03   0.8333E-04   0.1194E-01   0.2706E+01   0.2454E+01   0.7527E+00
   206   0.4100E+01   0.1156E-03   0.7883E-04   0.1144E-01   0.2711E+01   0.2454E+01   0.7530E+00
   207   0.4120E+01   0.1100E-03   0.7458E-04   0.1097E-01   0.2719E+01   0.2455E+01   0.7534E+00
   208   0.4140E+01   0.1048E-03   0.7056E-04   0.1050E-01   0.2729E+01   0.2456E+01   0.7540E+00
   209   0.4160E+01   0.9974E-04   0.6675E-04   0.1006E-01   0.2742E+01   0.2457E+01   0.7547E+00
   210   0.4180E+01   0.9496E-04   0.6315E-04   0.9637E-02   0.2757E+01   0.2458E+01   0.7555E+00
   211   0.4200E+01   0.9040E-04   0.5975E-04   0.9228E-02   0.2774E+01   0.2460E+01   0.7564E+00
   212   0.4220E+01   0.8606E-04   0.5652E-04   0.8835E-02   0.2795E+01   0.2462E+01   0.7575E+00
   213   0.4240E+01   0.8193E-04   0.5347E-04   0.8458E-02   0.2818E+01   0.2464E+01   0.7587E+00
   214   0.4260E+01   0.7799E-04   0.5059E-04   0.8095E-02   0.2844E+01   0.2466E+01   0.7600E+00
   215   0.4280E+01   0.7423E-04   0.4786E-04   0.7746E-02   0.2873E+01   0.2468E+01   0.7615E+00
   216   0.4300E+01   0.7065E-04   0.4528E-04   0.7411E-02   0.2906E+01   0.2471E+01   0.7631E+00
   217   0.4320E+01   0.6725E-04   0.4284E-04   0.7089E-02   0.2942E+01   0.2474E+01   0.7649E+00
   218   0.4340E+01   0.6400E-04   0.4053E-04   0.6780E-02   0.2981E+01   0.2477E+01   0.7668E+00
   219   0.4360E+01   0.6090E-04   0.3834E-04   0.6483E-02   0.3025E+01   0.2480E+01   0.7688E+00
   220   0.4380E+01   0.5795E-04   0.3627E-04   0.6198E-02   0.3072E+01   0.2484E+01   0.7710E+00
   221   0.4400E+01   0.5514E-04   0.3432E-04   0.5924E-02   0.3124E+01   0.2487E+01   0.7734E+00
   222   0.4420E+01   0.5246E-04   0.3247E-04   0.5661E-02   0.3180E+01   0.2491E+01   0.7759E+00
   223   0.4440E+01   0.4991E-04   0.3071E-04   0.5409E-02   0.3241E+01   0.2496E+01   0.7786E+00
   224   0.4460E+01   0.4748E-04   0.2906E-04   0.5166E-02   0.3308E+01   0.2500E+01   0.7814E+00
