#   pt       r            w            d(ln(w))/dr
   479   0.1434E+02   0.1917E-38  -0.1209E+02
   480   0.1437E+02   0.1333E-38  -0.1211E+02
   481   0.1440E+02   0.9269E-39  -0.1214E+02
   482   0.1443E+02   0.6438E-39  -0.1216E+02
   483   0.1446E+02   0.4468E-39  -0.1219E+02
   484   0.1449E+02   0.3099E-39  -0.1221E+02
   485   0.1452E+02   0.2148E-39  -0.1224E+02
   486   0.1455E+02   0.1487E-39  -0.1226E+02
   487   0.1458E+02   0.1029E-39  -0.1229E+02
   488   0.1461E+02   0.7115E-40  -0.1231E+02
   489   0.1464E+02   0.4916E-40  -0.1234E+02
   490   0.1467E+02   0.3394E-40  -0.1236E+02
   491   0.1470E+02   0.2341E-40  -0.1239E+02
   492   0.1473E+02   0.1614E-40  -0.1241E+02
   493   0.1476E+02   0.1112E-40  -0.1244E+02
   494   0.1479E+02   0.7651E-41  -0.1246E+02
   495   0.1482E+02   0.5262E-41  -0.1249E+02
   496   0.1485E+02   0.3616E-41  -0.1251E+02
