#   pt       r            w            d(ln(w))/dr
   271   0.8100E+01   0.1305E-10  -0.4725E+01
   272   0.8130E+01   0.1132E-10  -0.4742E+01
   273   0.8160E+01   0.9817E-11  -0.4760E+01
   274   0.8190E+01   0.8508E-11  -0.4777E+01
   275   0.8220E+01   0.7370E-11  -0.4795E+01
   276   0.8250E+01   0.6381E-11  -0.4812E+01
   277   0.8280E+01   0.5522E-11  -0.4830E+01
   278   0.8310E+01   0.4776E-11  -0.4847E+01
   279   0.8340E+01   0.4128E-11  -0.4865E+01
   280   0.8370E+01   0.3567E-11  -0.4882E+01
   281   0.8400E+01   0.3080E-11  -0.4900E+01
   282   0.8430E+01   0.2658E-11  -0.4917E+01
   283   0.8460E+01   0.2293E-11  -0.4935E+01
   284   0.8490E+01   0.1977E-11  -0.4952E+01
   285   0.8520E+01   0.1704E-11  -0.4970E+01
   286   0.8550E+01   0.1467E-11  -0.4987E+01
   287   0.8580E+01   0.1263E-11  -0.5005E+01
   288   0.8610E+01   0.1087E-11  -0.5022E+01
   289   0.8640E+01   0.9344E-12  -0.5040E+01
   290   0.8670E+01   0.8031E-12  -0.5057E+01
   291   0.8700E+01   0.6898E-12  -0.5075E+01
   292   0.8730E+01   0.5923E-12  -0.5092E+01
   293   0.8760E+01   0.5082E-12  -0.5110E+01
   294   0.8790E+01   0.4359E-12  -0.5127E+01
   295   0.8820E+01   0.3736E-12  -0.5145E+01
   296   0.8850E+01   0.3201E-12  -0.5162E+01
   297   0.8880E+01   0.2741E-12  -0.5180E+01
   298   0.8910E+01   0.2346E-12  -0.5197E+01
   299   0.8940E+01   0.2007E-12  -0.5215E+01
   300   0.8970E+01   0.1716E-12  -0.5232E+01
   301   0.9000E+01   0.1466E-12  -0.5250E+01
   302   0.9030E+01   0.1252E-12  -0.5267E+01
   303   0.9060E+01   0.1069E-12  -0.5285E+01
   304   0.9090E+01   0.9119E-13  -0.5302E+01
   305   0.9120E+01   0.7775E-13  -0.5320E+01
   306   0.9150E+01   0.6627E-13  -0.5337E+01
   307   0.9180E+01   0.5645E-13  -0.5355E+01
   308   0.9210E+01   0.4806E-13  -0.5372E+01
   309   0.9240E+01   0.4089E-13  -0.5390E+01
   310   0.9270E+01   0.3478E-13  -0.5407E+01
   311   0.9300E+01   0.2956E-13  -0.5425E+01
   312   0.9330E+01   0.2512E-13  -0.5442E+01
   313   0.9360E+01   0.2133E-13  -0.5460E+01
   314   0.9390E+01   0.1810E-13  -0.5477E+01
   315   0.9420E+01   0.1535E-13  -0.5495E+01
   316   0.9450E+01   0.1302E-13  -0.5512E+01
   317   0.9480E+01   0.1103E-13  -0.5530E+01
   318   0.9510E+01   0.9341E-14  -0.5547E+01
   319   0.9540E+01   0.7907E-14  -0.5565E+01
   320   0.9570E+01   0.6689E-14  -0.5582E+01
   321   0.9600E+01   0.5656E-14  -0.5600E+01
   322   0.9630E+01   0.4780E-14  -0.5617E+01
   323   0.9660E+01   0.4038E-14  -0.5635E+01
