#   pt       r            w            wL          Qw            A            b           IP
   183   0.3640E+01   0.5599E-04   0.1760E-04   0.4901E-02   0.1286E+00   0.2126E+01   0.5651E+00
   184   0.3660E+01   0.5365E-04   0.1659E-04   0.4718E-02   0.1341E+00   0.2138E+01   0.5711E+00
   185   0.3680E+01   0.5140E-04   0.1565E-04   0.4540E-02   0.1398E+00   0.2149E+01   0.5772E+00
   186   0.3700E+01   0.4923E-04   0.1475E-04   0.4368E-02   0.1458E+00   0.2160E+01   0.5834E+00
   187   0.3720E+01   0.4714E-04   0.1391E-04   0.4201E-02   0.1521E+00   0.2172E+01   0.5896E+00
   188   0.3740E+01   0.4514E-04   0.1312E-04   0.4040E-02   0.1587E+00   0.2183E+01   0.5958E+00
   189   0.3760E+01   0.4320E-04   0.1237E-04   0.3884E-02   0.1657E+00   0.2195E+01   0.6021E+00
   190   0.3780E+01   0.4134E-04   0.1167E-04   0.3733E-02   0.1731E+00   0.2206E+01   0.6084E+00
   191   0.3800E+01   0.3955E-04   0.1100E-04   0.3587E-02   0.1808E+00   0.2218E+01   0.6148E+00
   192   0.3820E+01   0.3783E-04   0.1037E-04   0.3446E-02   0.1889E+00   0.2229E+01   0.6212E+00
   193   0.3840E+01   0.3618E-04   0.9783E-05   0.3309E-02   0.1974E+00   0.2241E+01   0.6277E+00
   194   0.3860E+01   0.3459E-04   0.9225E-05   0.3178E-02   0.2064E+00   0.2252E+01   0.6342E+00
   195   0.3880E+01   0.3306E-04   0.8699E-05   0.3050E-02   0.2159E+00   0.2264E+01   0.6407E+00
   196   0.3900E+01   0.3159E-04   0.8204E-05   0.2927E-02   0.2259E+00   0.2276E+01   0.6473E+00
   197   0.3920E+01   0.3019E-04   0.7736E-05   0.2809E-02   0.2363E+00   0.2287E+01   0.6539E+00
   198   0.3940E+01   0.2883E-04   0.7295E-05   0.2694E-02   0.2474E+00   0.2299E+01   0.6605E+00
   199   0.3960E+01   0.2753E-04   0.6879E-05   0.2584E-02   0.2590E+00   0.2310E+01   0.6672E+00
   200   0.3980E+01   0.2629E-04   0.6487E-05   0.2477E-02   0.2712E+00   0.2322E+01   0.6739E+00
   201   0.4000E+01   0.2509E-04   0.6117E-05   0.2374E-02   0.2841E+00   0.2334E+01   0.6807E+00
   202   0.4020E+01   0.2394E-04   0.5768E-05   0.2275E-02   0.2976E+00   0.2345E+01   0.6875E+00
   203   0.4040E+01   0.2284E-04   0.5439E-05   0.2180E-02   0.3119E+00   0.2357E+01   0.6944E+00
   204   0.4060E+01   0.2179E-04   0.5129E-05   0.2088E-02   0.3270E+00   0.2368E+01   0.7012E+00
   205   0.4080E+01   0.2078E-04   0.4837E-05   0.1999E-02   0.3428E+00   0.2380E+01   0.7081E+00
   206   0.4100E+01   0.1981E-04   0.4561E-05   0.1914E-02   0.3595E+00   0.2392E+01   0.7151E+00
   207   0.4120E+01   0.1888E-04   0.4301E-05   0.1832E-02   0.3772E+00   0.2403E+01   0.7221E+00
   208   0.4140E+01   0.1800E-04   0.4056E-05   0.1753E-02   0.3958E+00   0.2415E+01   0.7291E+00
   209   0.4160E+01   0.1714E-04   0.3825E-05   0.1677E-02   0.4154E+00   0.2427E+01   0.7361E+00
   210   0.4180E+01   0.1633E-04   0.3607E-05   0.1604E-02   0.4360E+00   0.2438E+01   0.7432E+00
   211   0.4200E+01   0.1555E-04   0.3401E-05   0.1533E-02   0.4579E+00   0.2450E+01   0.7503E+00
   212   0.4220E+01   0.1481E-04   0.3207E-05   0.1466E-02   0.4809E+00   0.2462E+01   0.7575E+00
   213   0.4240E+01   0.1409E-04   0.3024E-05   0.1401E-02   0.5052E+00   0.2473E+01   0.7647E+00
   214   0.4260E+01   0.1341E-04   0.2852E-05   0.1338E-02   0.5309E+00   0.2485E+01   0.7719E+00
   215   0.4280E+01   0.1276E-04   0.2689E-05   0.1278E-02   0.5580E+00   0.2497E+01   0.7792E+00
   216   0.4300E+01   0.1214E-04   0.2536E-05   0.1221E-02   0.5866E+00   0.2508E+01   0.7865E+00
   217   0.4320E+01   0.1154E-04   0.2391E-05   0.1165E-02   0.6168E+00   0.2520E+01   0.7938E+00
   218   0.4340E+01   0.1097E-04   0.2255E-05   0.1112E-02   0.6488E+00   0.2532E+01   0.8012E+00
   219   0.4360E+01   0.1043E-04   0.2126E-05   0.1062E-02   0.6825E+00   0.2543E+01   0.8086E+00
   220   0.4380E+01   0.9912E-05   0.2005E-05   0.1013E-02   0.7182E+00   0.2555E+01   0.8160E+00
   221   0.4400E+01   0.9417E-05   0.1891E-05   0.9660E-03   0.7559E+00   0.2567E+01   0.8235E+00
   222   0.4420E+01   0.8945E-05   0.1783E-05   0.9211E-03   0.7958E+00   0.2578E+01   0.8310E+00
   223   0.4440E+01   0.8494E-05   0.1681E-05   0.8781E-03   0.8380E+00   0.2590E+01   0.8385E+00
