#   pt       r            w            wL          Qw            A            b           IP
   145   0.2880E+01   0.2735E-02   0.2634E-02   0.1258E+00   0.6170E+01   0.2681E+01   0.8985E+00
   146   0.2900E+01   0.2592E-02   0.2495E-02   0.1202E+00   0.6266E+01   0.2686E+01   0.9021E+00
   147   0.2920E+01   0.2456E-02   0.2362E-02   0.1148E+00   0.6372E+01   0.2692E+01   0.9060E+00
   148   0.2940E+01   0.2327E-02   0.2237E-02   0.1097E+00   0.6488E+01   0.2698E+01   0.9101E+00
   149   0.2960E+01   0.2205E-02   0.2118E-02   0.1047E+00   0.6615E+01   0.2705E+01   0.9145E+00
   150   0.2980E+01   0.2089E-02   0.2006E-02   0.9997E-01   0.6752E+01   0.2712E+01   0.9192E+00
   151   0.3000E+01   0.1978E-02   0.1900E-02   0.9540E-01   0.6900E+01   0.2719E+01   0.9242E+00
   152   0.3020E+01   0.1873E-02   0.1799E-02   0.9102E-01   0.7061E+01   0.2727E+01   0.9293E+00
   153   0.3040E+01   0.1774E-02   0.1704E-02   0.8681E-01   0.7234E+01   0.2735E+01   0.9348E+00
   154   0.3060E+01   0.1679E-02   0.1613E-02   0.8277E-01   0.7420E+01   0.2743E+01   0.9405E+00
   155   0.3080E+01   0.1589E-02   0.1528E-02   0.7890E-01   0.7620E+01   0.2752E+01   0.9465E+00
   156   0.3100E+01   0.1504E-02   0.1447E-02   0.7519E-01   0.7835E+01   0.2761E+01   0.9527E+00
   157   0.3120E+01   0.1423E-02   0.1370E-02   0.7164E-01   0.8066E+01   0.2770E+01   0.9591E+00
   158   0.3140E+01   0.1346E-02   0.1297E-02   0.6823E-01   0.8313E+01   0.2780E+01   0.9658E+00
   159   0.3160E+01   0.1273E-02   0.1229E-02   0.6496E-01   0.8578E+01   0.2790E+01   0.9727E+00
   160   0.3180E+01   0.1204E-02   0.1163E-02   0.6183E-01   0.8861E+01   0.2800E+01   0.9799E+00
   161   0.3200E+01   0.1139E-02   0.1102E-02   0.5884E-01   0.9164E+01   0.2810E+01   0.9873E+00
   162   0.3220E+01   0.1076E-02   0.1043E-02   0.5597E-01   0.9488E+01   0.2821E+01   0.9949E+00
   163   0.3240E+01   0.1017E-02   0.9880E-03   0.5323E-01   0.9833E+01   0.2832E+01   0.1003E+01
   164   0.3260E+01   0.9609E-03   0.9357E-03   0.5060E-01   0.1020E+02   0.2844E+01   0.1011E+01
   165   0.3280E+01   0.9077E-03   0.8860E-03   0.4809E-01   0.1060E+02   0.2855E+01   0.1019E+01
   166   0.3300E+01   0.8572E-03   0.8391E-03   0.4569E-01   0.1102E+02   0.2867E+01   0.1028E+01
   167   0.3320E+01   0.8093E-03   0.7946E-03   0.4340E-01   0.1147E+02   0.2879E+01   0.1036E+01
   168   0.3340E+01   0.7640E-03   0.7525E-03   0.4121E-01   0.1195E+02   0.2891E+01   0.1045E+01
   169   0.3360E+01   0.7209E-03   0.7126E-03   0.3912E-01   0.1246E+02   0.2904E+01   0.1054E+01
   170   0.3380E+01   0.6802E-03   0.6748E-03   0.3712E-01   0.1301E+02   0.2917E+01   0.1063E+01
   171   0.3400E+01   0.6416E-03   0.6390E-03   0.3521E-01   0.1359E+02   0.2930E+01   0.1073E+01
   172   0.3420E+01   0.6050E-03   0.6051E-03   0.3339E-01   0.1421E+02   0.2943E+01   0.1083E+01
   173   0.3440E+01   0.5703E-03   0.5730E-03   0.3165E-01   0.1488E+02   0.2956E+01   0.1092E+01
   174   0.3460E+01   0.5375E-03   0.5427E-03   0.2999E-01   0.1559E+02   0.2970E+01   0.1102E+01
   175   0.3480E+01   0.5064E-03   0.5139E-03   0.2842E-01   0.1635E+02   0.2983E+01   0.1113E+01
   176   0.3500E+01   0.4770E-03   0.4866E-03   0.2691E-01   0.1716E+02   0.2997E+01   0.1123E+01
   177   0.3520E+01   0.4492E-03   0.4608E-03   0.2548E-01   0.1802E+02   0.3011E+01   0.1133E+01
   178   0.3540E+01   0.4229E-03   0.4364E-03   0.2411E-01   0.1895E+02   0.3025E+01   0.1144E+01
   179   0.3560E+01   0.3980E-03   0.4133E-03   0.2281E-01   0.1993E+02   0.3040E+01   0.1155E+01
   180   0.3580E+01   0.3745E-03   0.3913E-03   0.2158E-01   0.2099E+02   0.3054E+01   0.1166E+01
   181   0.3600E+01   0.3522E-03   0.3706E-03   0.2040E-01   0.2211E+02   0.3069E+01   0.1177E+01
   182   0.3620E+01   0.3312E-03   0.3509E-03   0.1928E-01   0.2332E+02   0.3083E+01   0.1188E+01
   183   0.3640E+01   0.3114E-03   0.3323E-03   0.1822E-01   0.2461E+02   0.3098E+01   0.1200E+01
   184   0.3660E+01   0.2926E-03   0.3147E-03   0.1721E-01   0.2599E+02   0.3113E+01   0.1211E+01
   185   0.3680E+01   0.2749E-03   0.2980E-03   0.1624E-01   0.2746E+02   0.3128E+01   0.1223E+01
   186   0.3700E+01   0.2582E-03   0.2822E-03   0.1533E-01   0.2904E+02   0.3143E+01   0.1235E+01
   187   0.3720E+01   0.2424E-03   0.2673E-03   0.1447E-01   0.3073E+02   0.3159E+01   0.1247E+01
   188   0.3740E+01   0.2276E-03   0.2531E-03   0.1365E-01   0.3254E+02   0.3174E+01   0.1259E+01
   189   0.3760E+01   0.2135E-03   0.2397E-03   0.1287E-01   0.3448E+02   0.3189E+01   0.1272E+01
   190   0.3780E+01   0.2003E-03   0.2270E-03   0.1213E-01   0.3655E+02   0.3205E+01   0.1284E+01
   191   0.3800E+01   0.1878E-03   0.2149E-03   0.1143E-01   0.3878E+02   0.3220E+01   0.1296E+01
   192   0.3820E+01   0.1761E-03   0.2035E-03   0.1076E-01   0.4116E+02   0.3236E+01   0.1309E+01
   193   0.3840E+01   0.1650E-03   0.1927E-03   0.1014E-01   0.4372E+02   0.3252E+01   0.1322E+01
   194   0.3860E+01   0.1546E-03   0.1825E-03   0.9540E-02   0.4646E+02   0.3268E+01   0.1335E+01
   195   0.3880E+01   0.1448E-03   0.1728E-03   0.8977E-02   0.4941E+02   0.3284E+01   0.1348E+01
   196   0.3900E+01   0.1356E-03   0.1637E-03   0.8444E-02   0.5256E+02   0.3299E+01   0.1361E+01
   197   0.3920E+01   0.1269E-03   0.1550E-03   0.7940E-02   0.5596E+02   0.3315E+01   0.1374E+01
   198   0.3940E+01   0.1187E-03   0.1468E-03   0.7464E-02   0.5960E+02   0.3332E+01   0.1387E+01
   199   0.3960E+01   0.1111E-03   0.1390E-03   0.7013E-02   0.6351E+02   0.3348E+01   0.1401E+01
   200   0.3980E+01   0.1039E-03   0.1316E-03   0.6588E-02   0.6771E+02   0.3364E+01   0.1414E+01
   201   0.4000E+01   0.9709E-04   0.1247E-03   0.6186E-02   0.7223E+02   0.3380E+01   0.1428E+01
